,method_name,cluster_id
0,null2EmptyString,0
1,emptyString2Null,0
2,doc2SystemId,0
3,parseSchema,1
4,validateAnnotations,0
5,createAnnotationValidator,0
6,getGrammar,0
7,findGrammar,0
8,constructTrees,1
9,isExistingGrammar,0
10,updateImportListFor,0
11,updateImportListWith,0
12,buildGlobalNameRegistries,3
13,traverseSchemas,3
14,needReportTNSError,0
15,addGlobalAttributeDecl,0
16,addGlobalAttributeGroupDecl,0
17,addGlobalElementDecl,0
18,addGlobalGroupDecl,0
19,addGlobalNotationDecl,0
20,addGlobalTypeDecl,0
21,addIDConstraintDecl,0
22,getGlobalAttributeDecl,0
23,getGlobalAttributeGroupDecl,0
24,getGlobalElementDecl,0
25,getGlobalGroupDecl,0
26,getGlobalNotationDecl,0
27,getGlobalTypeDecl,0
28,getIDConstraintDecl,0
29,getGlobalDecl,0
30,getGlobalDeclFromGrammar,0
31,traverseGlobalDecl,0
32,schemaDocument2SystemId,0
33,getGrpOrAttrGrpRedefinedByRestriction,0
34,resolveKeyRefs,0
35,getIDRegistry,0
36,getIDRegistry_sub,0
37,storeKeyRef,0
38,resolveSchema,0
39,resolveSchemaSource,0
40,getSchemaDocument,0
41,getSchemaDocument0,0
42,getSchemaDocument1,0
43,expandGrammars,0
44,existingGrammars,0
45,canAddComponents,0
46,canAddComponent,2
47,addGrammars,0
48,addGrammarComponents,0
49,createGrammarFrom,0
50,addNewGrammarLocations,0
51,addNewImportedGrammars,0
52,updateImportList,0
53,addNewGrammarComponents,0
54,addGlobalElementDecls,2
55,addGlobalAttributeDecls,2
56,addGlobalAttributeGroupDecls,2
57,addGlobalNotationDecls,2
58,addGlobalGroupDecls,2
59,addGlobalTypeDecls,2
60,expandComponents,0
61,expandRelatedComponents,2
62,expandRelatedAttributeComponents,0
63,expandRelatedElementComponents,0
64,expandRelatedTypeComponents,0
65,expandRelatedModelGroupDefinitionComponents,0
66,expandRelatedAttributeGroupComponents,0
67,expandRelatedComplexTypeComponents,0
68,expandRelatedSimpleTypeComponents,0
69,expandRelatedAttributeUsesComponents,0
70,expandRelatedAttributeUseComponents,0
71,expandRelatedParticleComponents,0
72,expandRelatedModelGroupComponents,0
73,addRelatedType,0
74,addRelatedElement,0
75,addRelatedAttribute,0
76,addGlobalComponents,0
77,addGlobalComponent,2
78,updateImportDependencies,0
79,expandImportList,0
80,addImportList,0
81,containedImportedGrammar,0
82,getSchemaGrammar,0
83,findDependentNamespaces,0
84,addNamespaceDependency,0
85,reportSharingError,0
86,createTraversers,0
87,prepareForParse,0
88,prepareForTraverse,0
89,setDeclPool,0
90,setDVFactory,0
91,reset,0
92,traverseLocalElements,0
93,removeParticle,0
94,fillInLocalElemInfo,0
95,checkForDuplicateNames,0
96,renameRedefiningComponents,3
97,findQName,0
98,changeRedefineGroup,0
99,findXSDocumentForDecl,0
100,nonAnnotationContent,0
101,setSchemasVisible,0
102,element2Locator,0
103,reportSchemaError,0
104,reportSchemaWarning,0
105,setGenerateSyntheticAnnotations,0
