,method_name,cluster_id
0,0,4
1,1,4
2,2,4
3,3,4
4,4,4
5,5,4
6,6,4
7,7,4
8,8,4
9,9,4
10,10,4
11,11,4
12,12,4
13,13,4
14,14,4
15,15,4
16,16,4
17,17,4
18,18,4
19,19,4
20,20,4
21,21,4
22,22,4
23,23,4
24,24,4
25,25,4
26,26,4
27,27,4
28,28,4
29,29,4
30,30,4
31,31,4
32,32,4
33,33,4
34,34,4
35,35,4
36,36,4
37,37,4
38,38,4
39,39,4
40,40,4
41,41,4
42,42,4
43,43,4
44,44,4
45,45,4
46,46,4
47,47,4
48,48,4
49,49,4
50,50,4
51,51,4
52,52,4
53,53,4
54,54,4
55,55,4
56,56,4
57,57,4
58,58,4
59,59,4
60,60,4
61,61,4
62,62,4
63,63,4
64,64,4
65,65,4
66,66,4
67,67,4
68,68,4
69,69,4
70,70,4
71,71,4
72,72,4
73,73,4
74,74,4
75,75,4
76,76,4
77,77,4
78,78,4
79,79,4
80,80,4
81,81,4
82,82,4
83,83,4
84,84,4
85,85,4
86,86,4
87,87,4
88,88,4
89,89,4
90,90,4
91,91,4
92,92,4
93,93,4
94,94,4
95,95,4
96,96,4
97,97,4
98,98,4
99,99,4
100,100,4
101,getElementDeclIsExternal,12
102,getAttributeDeclIsExternal,8
103,getAttributeDeclIndex,3
104,startParameterEntity,11
105,elementDecl,27
106,attributeDecl,15
107,internalEntityDecl,9
108,externalEntityDecl,9
109,unparsedEntityDecl,9
110,notationDecl,21
111,endDTD,22
112,setDTDSource,4
113,setDTDContentModelSource,4
114,startContentModel,4
115,startGroup,4
116,element,1
117,separator,26
118,occurrence,16
119,endGroup,4
120,getNextElementDeclIndex,4
121,getElementDeclIndex,4
122,getContentSpecType,8
123,getElementDecl,18
124,getElementDeclName,12
125,getFirstAttributeDeclIndex,12
126,getNextAttributeDeclIndex,8
127,getAttributeDecl,2
128,isCDATAAttribute,19
129,getEntityDeclIndex,4
130,getEntityDecl,8
131,getNotationDeclIndex,4
132,getNotationDecl,8
133,getContentSpec,6
134,getContentSpecIndex,12
135,getContentSpecAsString,28
136,printElements,0
137,printAttributes,3
138,addContentSpecToElement,1
139,getElementContentModelValidator,17
140,createElementDecl,8
141,setElementDecl,0
142,setFirstAttributeDeclIndex,12
143,setContentSpecIndex,12
144,createAttributeDecl,8
145,setAttributeDecl,25
146,createContentSpec,8
147,setContentSpec,6
148,createEntityDecl,8
149,setEntityDecl,5
150,createNotationDecl,8
151,setNotationDecl,5
152,addContentSpecNode,29
153,addUniqueLeafNode,10
154,initializeContentModelStack,11
155,appendContentSpec,14
156,printAttribute,2
157,createChildModel,20
158,buildSyntaxTree,13
159,contentSpecTree,23
160,ensureElementDeclCapacity,7
161,ensureAttributeDeclCapacity,7
162,ensureEntityDeclCapacity,7
163,ensureNotationDeclCapacity,7
164,ensureContentSpecCapacity,7
165,resize,11
166,isEntityDeclared,24
167,isEntityUnparsed,24
