,method_name,cluster_id
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,7,0
8,8,0
9,9,0
10,10,0
11,11,0
12,12,0
13,13,0
14,14,0
15,15,0
16,16,0
17,17,0
18,18,0
19,19,0
20,20,0
21,21,0
22,22,0
23,23,0
24,24,0
25,25,0
26,26,0
27,27,0
28,28,0
29,29,0
30,30,0
31,31,0
32,32,0
33,33,0
34,34,0
35,35,0
36,36,0
37,37,0
38,38,0
39,39,0
40,40,0
41,41,0
42,42,0
43,43,0
44,44,0
45,45,0
46,46,0
47,47,0
48,48,0
49,49,0
50,50,0
51,51,0
52,52,0
53,53,0
54,54,0
55,55,0
56,56,0
57,57,0
58,58,0
59,59,0
60,60,0
61,61,0
62,62,0
63,63,0
64,64,0
65,65,0
66,66,0
67,67,0
68,68,0
69,69,0
70,70,0
71,71,0
72,72,0
73,73,0
74,74,0
75,75,0
76,76,0
77,77,0
78,78,0
79,79,0
80,80,0
81,81,0
82,82,0
83,83,0
84,84,0
85,85,0
86,86,0
87,87,0
88,88,0
89,89,0
90,90,0
91,91,0
92,92,0
93,93,0
94,94,0
95,95,0
96,96,0
97,97,0
98,98,0
99,99,0
100,100,0
101,101,0
102,102,0
103,103,0
104,104,0
105,105,0
106,106,0
107,107,0
108,108,0
109,109,0
110,110,0
111,111,0
112,112,0
113,113,0
114,114,0
115,115,0
116,reset,4
117,setFeature,0
118,setProperty,0
119,getFeatureDefault,0
120,getPropertyDefault,0
121,setDocumentHandler,0
122,startDocument,13
123,xmlDecl,22
124,doctypeDecl,22
125,comment,11
126,processingInstruction,11
127,startElement,1
128,emptyElement,1
129,endElement,8
130,startGeneralEntity,28
131,textDecl,11
132,endGeneralEntity,11
133,characters,11
134,ignorableWhitespace,11
135,startCDATA,11
136,endCDATA,11
137,endDocument,22
138,setDocumentSource,0
139,attributeDecl,17
140,elementDecl,10
141,endAttlist,10
142,endConditional,10
143,endDTD,10
144,endExternalSubset,10
145,endParameterEntity,10
146,externalEntityDecl,18
147,ignoredCharacters,10
148,internalEntityDecl,10
149,notationDecl,18
150,setDTDSource,0
151,startAttlist,10
152,startConditional,10
153,startDTD,10
154,startExternalSubset,10
155,startParameterEntity,18
156,unparsedEntityDecl,18
157,setDTDHandler,0
158,setErrorReporter,0
159,handleFallbackElement,14
160,handleIncludeElement,2
161,hasXIncludeNamespace,0
162,isIncludeElement,0
163,isFallbackElement,0
164,sameBaseURIAsIncludeParent,0
165,sameLanguageAsIncludeParent,0
166,setupCurrentBaseURI,0
167,searchForRecursiveIncludes,0
168,isTopLevelIncludedItem,0
169,isTopLevelIncludedItemViaInclude,0
170,isTopLevelIncludedItemViaFallback,0
171,processAttributes,5
172,getRelativeBaseURI,12
173,getIncludeParentBaseURI,16
174,getIncludeParentLanguage,16
175,getIncludeParentDepth,0
176,modifyAugmentations,0
177,getState,0
178,setState,0
179,setSawFallback,27
180,getSawFallback,7
181,setSawInclude,27
182,getSawInclude,7
183,reportResourceError,19
184,reportFatalError,19
185,reportError,19
186,setParent,0
187,setHref,0
188,setXIncludeLocator,0
189,addUnparsedEntity,9
190,addNotation,9
191,checkUnparsedEntity,23
192,checkNotation,26
193,checkAndSendUnparsedEntity,6
194,checkAndSendNotation,3
195,checkWhitespace,24
196,checkMultipleRootElements,0
197,setRootElementProcessed,0
198,getRootElementProcessed,0
199,copyFeatures,0
200,copyFeatures1,0
201,saveLanguage,0
202,getBaseURI,21
203,getLanguage,21
204,getRelativeURI,20
205,scopeOfBaseURI,20
206,scopeOfLanguage,20
207,processXMLBaseAttributes,0
208,processXMLLangAttributes,0
209,isValidInHTTPHeader,0
210,createInputSource,25
211,isEqual,0
212,escapeHref,15
